"","x"
"1",0.428723121847624
"2",1.21983425917494
"3",1.82971877979028
"4",1.85414680648236
"5",1.77417646435759
"6",1.89295928094784
"7",1.85255799173816
"8",1.70174280755787
"9",1.6376310772164
"10",1.54377795702867
"11",1.85081029551954
"12",1.00294434100236
"13",1.1488728392596
"14",1.14056167975621
"15",1.15235192928427
"16",1.01983973403209
"17",1.02749125395424
"18",1.04964146044468
"19",1.07457493895486
"20",1.11820530496801
"21",1.12128172253613
"22",1.08849129905356
