"","x"
"2019-05-10",57.8687109258708
"2019-05-11",27.9758443319771
"2019-05-12",25.9105698620621
"2019-05-13",26.5846978267341
"2019-05-14",25.6728068869703
"2019-05-15",28.195891634415
"2019-05-16",28.162325096755
"2019-05-17",28.1399474049816
"2019-05-18",27.9944924084549
"2019-05-19",28.095192021435
"2019-05-20",28.2742135556217
"2019-05-21",19.9459826006417
"2019-05-22",28.4084797062618
"2019-05-23",28.3189689391684
"2019-05-24",28.279807978565
"2019-05-25",28.1735139426417
"2019-05-26",28.3413466309418
"2019-05-27",28.3581298997718
"2019-05-28",18.7599649366544
"2019-05-29",18.5548360953988
"2019-05-30",27.6364493400814
